dataset,tolerance,success,mean_k,selected_k4,beneficial_total,beneficial_selected,precision,recall
Reacher,0.00020754709839819994,80.0,1.0,0,3,0,,0.0
Reacher,9.461678564550227e-05,80.0,1.06,1,3,0,0.0,0.0
Reacher,5.238503217699919e-05,78.0,1.12,2,3,0,0.0,0.0
Reacher,4.651397466660934e-05,78.0,1.18,3,3,0,0.0,0.0
Reacher,4.035700112580039e-05,78.0,1.24,4,3,0,0.0,0.0
Reacher,3.41553241015001e-05,78.0,1.3,5,3,0,0.0,0.0
Reacher,2.7693808078797094e-05,78.0,1.3599999999999999,6,3,0,0.0,0.0
Reacher,1.4424324035602898e-05,78.0,1.42,7,3,0,0.0,0.0
Reacher,1.2395903468100794e-05,78.0,1.48,8,3,0,0.0,0.0
Reacher,1.0626856237700225e-05,78.0,1.54,9,3,0,0.0,0.0
Reacher,9.164214134200696e-06,78.0,1.6,10,3,0,0.0,0.0
Reacher,8.882954716699781e-06,78.0,1.6600000000000001,11,3,0,0.0,0.0
Reacher,6.949529051799783e-06,78.0,1.72,12,3,0,0.0,0.0
Reacher,6.285496056099814e-06,78.0,1.78,13,3,0,0.0,0.0
Reacher,3.4011900425026664e-06,78.0,1.84,14,3,0,0.0,0.0
Reacher,2.123415470199619e-06,78.0,1.9,15,3,0,0.0,0.0
Reacher,2.056360244799549e-06,78.0,1.96,16,3,0,0.0,0.0
Reacher,1.8104910850108569e-06,78.0,2.02,17,3,0,0.0,0.0
Reacher,1.3476237654998224e-06,80.0,2.08,18,3,1,0.05555555555555555,0.3333333333333333
Reacher,1.03283673529974e-06,80.0,2.14,19,3,1,0.05263157894736842,0.3333333333333333
Reacher,8.735805749997272e-07,80.0,2.2,20,3,1,0.05,0.3333333333333333
Reacher,4.097819328993321e-07,78.0,2.26,21,3,1,0.047619047619047616,0.3333333333333333
Reacher,2.0675361149871674e-07,78.0,2.3200000000000003,22,3,1,0.045454545454545456,0.3333333333333333
Reacher,1.671724021998569e-07,78.0,2.38,23,3,1,0.043478260869565216,0.3333333333333333
Reacher,1.429580152000065e-07,78.0,2.44,24,3,1,0.041666666666666664,0.3333333333333333
Reacher,1.2479722500020884e-07,78.0,2.5,25,3,1,0.04,0.3333333333333333
Reacher,4.796311259963604e-08,78.0,2.56,26,3,1,0.038461538461538464,0.3333333333333333
Reacher,4.097819330042829e-08,78.0,2.62,27,3,1,0.037037037037037035,0.3333333333333333
Reacher,0.0,78.0,2.68,28,3,1,0.03571428571428571,0.3333333333333333
Cube Single,5.4999720305200055e-05,84.0,1.0,0,0,0,,
Cube Single,4.657031968229985e-05,84.0,1.06,1,0,0,0.0,
Cube Single,1.6818987205600294e-05,84.0,1.12,2,0,0,0.0,
Cube Single,1.653213985270026e-05,82.0,1.18,3,0,0,0.0,
Cube Single,1.0818475857399604e-05,82.0,1.24,4,0,0,0.0,
Cube Single,3.4330878399997655e-07,82.0,1.3,5,0,0,0.0,
Cube Single,5.098991089991581e-08,82.0,1.3599999999999999,6,0,0,0.0,
Cube Single,1.9324943399852412e-08,82.0,1.42,7,0,0,0.0,
Cube Single,1.8859282099967928e-08,82.0,1.48,8,0,0,0.0,
Cube Single,8.614733800014346e-09,82.0,1.54,9,0,0,0.0,
Cube Single,3.725290299979797e-09,82.0,1.6,10,0,0,0.0,
Cube Single,2.561136999961605e-09,82.0,1.6600000000000001,11,0,0,0.0,
Cube Single,1.8626451999716187e-09,82.0,1.72,12,0,0,0.0,
Cube Single,4.656613003181653e-10,82.0,1.78,13,0,0,0.0,
Cube Single,3.492458999949932e-10,82.0,1.9,15,0,0,0.0,
Cube Single,2.328307000323826e-10,82.0,1.96,16,0,0,0.0,
Cube Single,2.3283059985210186e-10,82.0,2.08,18,0,0,0.0,
Cube Single,1.1641530014289136e-10,82.0,2.2,20,0,0,0.0,
Cube Single,1.1641529992605093e-10,82.0,2.26,21,0,0,0.0,
Cube Single,0.0,82.0,2.3200000000000003,22,0,0,0.0,
Cube Double,3.808224573740009e-05,70.0,1.0,0,0,0,,
Cube Double,1.1986587196600226e-05,70.0,1.06,1,0,0,0.0,
Cube Double,1.0091811418600112e-05,70.0,1.12,2,0,0,0.0,
Cube Double,5.457084625999729e-06,70.0,1.18,3,0,0,0.0,
Cube Double,4.8023648559999445e-06,70.0,1.24,4,0,0,0.0,
Cube Double,3.874069079800105e-06,70.0,1.3,5,0,0,0.0,
Cube Double,2.8664944693001636e-06,70.0,1.3599999999999999,6,0,0,0.0,
Cube Double,2.243556082299862e-06,70.0,1.42,7,0,0,0.0,
Cube Double,2.114800736299858e-06,70.0,1.48,8,0,0,0.0,
Cube Double,2.1019950508993288e-06,70.0,1.54,9,0,0,0.0,
Cube Double,2.039829268999944e-06,70.0,1.6,10,0,0,0.0,
Cube Double,1.5348196028999554e-06,70.0,1.6600000000000001,11,0,0,0.0,
Cube Double,1.10361725090026e-06,70.0,1.72,12,0,0,0.0,
Cube Double,1.0957010089999823e-06,70.0,1.78,13,0,0,0.0,
Cube Double,8.502975106000794e-07,70.0,1.84,14,0,0,0.0,
Cube Double,8.244533092000364e-07,70.0,1.9,15,0,0,0.0,
Cube Double,4.4144690039896184e-07,70.0,1.96,16,0,0,0.0,
Cube Double,3.7020072340011173e-07,70.0,2.02,17,0,0,0.0,
Cube Double,1.04308128399868e-07,70.0,2.08,18,0,0,0.0,
Cube Double,0.0,70.0,2.14,19,0,0,0.0,
Cube Triple,5.272543057800033e-05,74.0,1.0,0,1,0,,0.0
Cube Triple,3.245845437049996e-05,74.0,1.06,1,1,0,0.0,0.0
Cube Triple,2.920476254079994e-05,74.0,1.12,2,1,0,0.0,0.0
Cube Triple,1.697428524489986e-05,74.0,1.18,3,1,0,0.0,0.0
Cube Triple,1.0916264727699968e-05,74.0,1.24,4,1,0,0.0,0.0
Cube Triple,1.506879925800052e-06,74.0,1.3,5,1,0,0.0,0.0
Cube Triple,1.2987293302999837e-06,74.0,1.3599999999999999,6,1,0,0.0,0.0
Cube Triple,1.2344680725999077e-06,74.0,1.42,7,1,0,0.0,0.0
Cube Triple,7.471535355000128e-07,74.0,1.48,8,1,0,0.0,0.0
Cube Triple,4.833564162002799e-07,74.0,1.54,9,1,0,0.0,0.0
Cube Triple,2.8405338499968083e-08,74.0,1.6,10,1,0,0.0,0.0
Cube Triple,3.4924599995843353e-10,74.0,1.6600000000000001,11,1,0,0.0,0.0
Cube Triple,2.328307000323826e-10,74.0,1.72,12,1,0,0.0,0.0
Cube Triple,2.3283059985210186e-10,74.0,1.78,13,1,0,0.0,0.0
Cube Triple,0.0,74.0,1.84,14,1,0,0.0,0.0
